,Residual
2023-04-21,-36.90157807181141
2023-04-24,-37.88801684524218
2023-04-25,-38.608204621382356
2023-04-26,-40.212935223216675
2023-04-27,-40.004398206315145
2023-04-28,-39.40038898588536
2023-05-08,-39.3722543413454
2023-05-09,-39.42265266914136
2023-05-10,-36.8913736075159
2023-05-11,-36.9157332706256
2023-05-12,-37.65081345074144
2023-05-15,-38.63802176256826
2023-05-16,-37.85364921368192
2023-05-17,-37.37077270836586
2023-05-18,-35.68702545728037
2023-05-19,-35.58079045480291
2023-05-22,-34.61838656306671
2023-05-23,-35.42767511073305
2023-05-24,-35.90954111999518
2023-05-25,-35.2631445164312
2023-05-26,-34.671328204800815
2023-05-30,-34.627773688612095
2023-05-31,-34.036830816368095
2023-06-02,-34.977729365833376
2023-06-05,-33.93072632003514
2023-06-06,-32.3571647662543
2023-06-07,-32.215761718307874
2023-06-08,-32.61308376054623
2023-06-09,-33.14023132687697
2023-06-12,-32.63021645172288
2023-06-13,-33.73987506923946
2023-06-14,-34.249273675431795
2023-06-15,-36.05207303697961
2023-06-16,-35.78842380746821
2023-06-20,-36.13297497796851
2023-06-21,-35.018872169538696
2023-06-26,-34.50135440506162
2023-06-27,-32.947288131386955
2023-06-28,-31.5248375553379
2023-06-29,-32.022514528017425
2023-06-30,-31.742955982819122
2023-07-03,-31.17667471889239
2023-07-05,-31.367580233767207
2023-07-06,-32.39413667776019
2023-07-07,-29.391445664861727
2023-07-10,-29.67128362967934
2023-07-11,-29.28830751741159
2023-07-12,-28.995530024876025
2023-07-13,-29.849510793613828
2023-07-14,-29.34495842197805
2023-07-18,-30.06176618808385
2023-07-19,-29.744851262283724
2023-07-20,-29.788622353189574
2023-07-21,-30.857702694187857
2023-07-24,-30.742234061151528
2023-07-25,-32.340199875332615
2023-07-26,-30.679912832541277
2023-07-27,-30.590501674768205
2023-07-28,-30.965600101569436
2023-07-31,-36.13369480826465
2023-08-01,-36.30715053250869
2023-08-02,-34.44634582044958
2023-08-03,-32.39537069845433
2023-08-04,-33.15378880199866
2023-08-08,-33.60449631207772
2023-08-09,-32.21528163964144
2023-08-10,-32.88354631104579
2023-08-11,-39.02178470465772
2023-08-14,-51.62373384296217
2023-08-15,-51.33552471069729
2023-08-16,-51.930071452157705
2023-08-17,-53.02200842771816
2023-08-18,-54.927399997139936
2023-08-21,-55.36966551510061
2023-08-22,-53.46452676825962
2023-08-23,-54.11063469900111
2023-08-24,-53.10540875381844
